gX,gY,gZ
17.3950,8.7891,4.0894
-1.7700,54.0771,38.5742
-53.1616,-0.2441,21.0571
-49.7437,-20.6299,-21.6675
-34.8511,-4.7607,-54.5654
-79.8950,-15.0757,-65.1245
-41.1987,19.0430,-77.5146
12.1460,20.5078,-83.4961
59.2041,16.9067,-171.5088
75.5005,26.7334,-55.2979
74.4629,-24.1699,-9.5825
4.8828,11.2305,26.4282
1.8921,-8.4839,13.3057
37.2314,-26.1230,11.9019
58.4717,-15.2588,25.1465
22.5220,75.4395,93.1396
26.1841,96.4355,124.6338
12.8784,-29.5410,88.1958
-23.8647,-44.7388,63.2935
-38.2690,-17.6392,87.2192
-14.5264,-34.3018,92.8345
2.3193,-54.2603,67.3828
4.3335,-52.8564,49.1333
14.4653,-42.3584,38.0859
32.3486,-28.5645,27.6489
26.6724,-5.6763,22.4609
13.8550,-0.2441,13.7939
23.6816,-22.3389,-23.9868
20.1416,-17.0288,-36.7432
12.4512,-15.9912,-16.6016
14.7705,-4.4556,-9.2773
5.1270,-25.6958,-17.3340
-19.4702,2.0142,-42.1753
-51.2085,17.4561,-3.4180
-42.9077,42.2363,-7.7515
-56.1523,30.3345,-69.2139
-94.1162,33.2031,-82.7637
-93.2007,28.9917,-84.7778
-31.3110,-107.7271,-114.5630
127.5024,16.6626,-164.0625
35.5225,127.6245,-5.9814
25.2075,12.8784,39.1235
-27.5879,6.9580,34.3018
-20.4468,12.1460,17.3340
12.5122,-7.0801,9.0942
24.2920,-14.5264,1.8921
22.2778,-27.5879,15.5029
31.0669,-6.3477,40.8936
6.8359,-9.9487,55.5420
-17.0288,-6.8970,96.9238
-11.2915,4.1504,114.9292
25.7568,-29.4189,121.1548
34.4849,-18.0054,118.5303
23.6206,-18.4937,100.8911
22.1558,-45.9595,75.6226
38.1470,-48.0957,46.6919
32.3486,-13.7329,25.0854
21.7896,-14.8926,15.8691
37.6587,-27.2217,14.8315
61.7676,27.4048,-3.6011
15.0146,11.2915,-27.8931
-18.1274,-16.4185,-32.8979
-21.4844,-23.1934,-27.2217
-3.1128,-21.7285,-5.5542
-38.3911,33.4473,-3.0518
-60.0586,-12.3901,-54.2603
-0.7935,15.8691,-12.6343
-75.4395,65.1855,-12.5732
-95.7031,4.6387,-88.3789
-45.8984,-22.8271,-125.5493
1.4648,-82.6416,-138.3057
69.6411,-89.5996,-151.6724
24.6582,100.8911,-81.7871
21.7896,23.3154,23.3154
10.0708,12.2681,22.3389
-8.2397,9.6436,28.1372
-9.8877,-25.4517,6.4087
22.0337,-7.4463,8.3008
47.0581,13.1836,19.1040
23.2544,17.8833,39.3677
2.2583,21.6675,89.1113
2.7466,44.8608,105.8350
8.9722,13.6719,90.5762
19.2261,-21.9727,88.5620
19.7754,-2.9297,108.9478
21.6064,-36.6211,95.9473
38.6963,-54.0161,85.9375
38.7573,-72.2656,77.7588
26.2451,-71.0449,24.8413
16.3574,-63.9038,13.7939
4.8218,-25.0854,12.2681
6.5308,-10.6201,-8.8501
29.2358,14.7095,-5.1880
2.7466,44.1284,-11.5967
-20.8130,40.6494,-25.3296
-22.0947,16.7847,-34.6069
-35.7056,-10.6201,0.1221
-41.1987,-37.5977,-17.2729
-4.3945,-4.0283,-12.3291
-44.7998,52.9175,-26.7334
-77.3315,38.5742,-84.7168
-74.6460,24.5361,-109.8633
-46.0205,5.7373,-101.3184
156.2500,-66.3452,-213.9282
99.4873,35.4614,-124.3286
-3.6011,30.6396,49.1943
-10.6201,3.4790,38.9404
-12.5122,-4.2725,31.9214
12.4512,-21.1792,-12.8174
48.3398,-1.7090,-13.6719
36.1328,-8.3008,23.9868
-0.9766,24.3530,81.5430
-7.3242,8.1177,84.8999
-21.9727,-35.8887,69.8853
-28.5645,-13.1226,86.4258
3.4180,-21.6675,100.2197
22.6440,-27.1606,79.5898
11.6577,-22.5830,67.2607
12.6343,-31.7383,47.9126
18.6768,-44.7388,24.1089
20.0806,-43.2739,15.8691
27.9541,-26.3672,2.6245
34.2407,-12.6343,-18.3105
34.4238,2.8687,-15.0757
-1.7700,37.0483,-33.8745
-24.5972,22.4609,-44.9829
-3.6011,20.2026,-36.6821
11.2305,-10.7422,-26.7334
-37.8418,-6.7139,20.3857
-55.2979,-28.8086,12.4512
-35.4004,-30.8838,16.4795
-0.3052,26.6113,28.5645
-54.1992,-4.3945,-58.3496
-76.8433,-25.6348,-111.1450
-75.9277,30.2124,-86.9751
-39.9780,-2.1973,-115.7227
94.0552,-11.3525,-166.9312
50.0488,122.8027,-43.9453
45.9595,43.5791,52.7954
-5.0659,-14.3433,20.3857
-21.6675,-17.6392,26.0010
20.6299,-28.6865,2.1362
45.0439,-48.0957,-32.0435
21.6675,-14.8315,35.4614
0.0000,29.4800,101.2573
-15.1367,27.8931,104.7974
-16.2964,-8.3008,88.1958
-6.7139,-6.2866,100.6470
-0.9155,-38.3301,83.8623
3.6621,-51.6968,65.7959
11.9019,-54.2603,48.6450
13.6108,-50.2319,38.6963
36.0107,-42.2974,34.4238
46.9360,-15.5029,11.8408
33.5693,-8.4229,3.3569
34.1187,-36.8652,-16.9678
23.0713,28.0762,-31.3721
-10.0098,16.6016,-34.8511
2.7466,7.8125,-30.0293
20.6909,9.7046,-16.2354
-46.4478,13.2446,2.8687
-52.8564,-15.9302,3.8452
-23.0103,-14.5264,-10.0098
-25.2686,35.5225,-30.0903
-110.2905,-7.0801,-89.1724
-101.0132,67.1387,-76.1108
-25.5127,74.4019,-54.9316
0.0610,-17.5781,-148.1323
104.8584,-26.9775,-169.9829
34.2407,31.3721,-62.2559
27.6489,18.1274,9.0942
-15.1978,21.7285,36.6211
-19.7754,-22.6440,37.4146
13.6719,-44.4946,15.5029
40.1001,10.6201,23.8037
21.5454,-0.9766,38.3911
-20.9351,-46.0815,56.8237
-2.3804,-4.0894,85.2661
26.4893,5.0049,97.4731
14.9536,-15.2588,95.0317
-9.8877,-24.0479,72.5708
-1.0376,-41.4429,61.0962
26.8555,-14.2212,59.4482
11.9629,-48.7061,38.5132
13.6108,-58.8379,44.4946
51.5747,-23.0713,37.2314
50.4761,-17.9443,15.4419
32.4097,22.2168,-9.2163
14.6484,23.1934,-24.8413
13.0615,29.8462,-38.3301
6.8970,6.6528,-53.2837
-5.5542,-12.2070,-40.4053
-20.8740,2.1362,-7.8735
-49.9878,-22.7051,-10.3149
-41.5649,13.2446,19.5923
-29.8462,44.5557,-7.8125
-84.7168,32.8369,-78.6743
-115.6616,16.9067,-107.4829
-53.3447,36.9263,-87.7686
-36.6821,24.7192,-128.5400
103.5767,-40.9546,-171.6309
35.8276,66.5283,-87.8296
19.4702,9.6436,-7.9956
9.0332,12.8174,19.2871
-7.3853,-6.2256,17.1509
7.1411,-20.6909,8.1787
58.9600,6.6528,7.6904
80.3833,-2.5024,4.0894
32.7759,-22.8882,30.8228
-28.0151,-5.7373,82.0923
-13.8550,2.1973,97.1680
-6.7749,-29.1138,85.3271
-28.9917,-25.3296,98.5107
-10.6812,9.0942,118.0420
17.5171,-13.1226,90.3320
9.4604,-39.9780,69.0308
5.4321,-65.1855,57.5562
29.9683,-59.8145,37.1704
36.9873,-30.0293,9.5215
28.3813,-33.8135,-3.5400
25.3906,-33.9355,-12.8174
25.5127,17.3950,-31.3721
-4.4556,26.7944,-43.9453
-12.6953,33.5083,-58.4106
-1.4648,-9.8877,15.2588
-16.8457,-16.2354,39.4287
7.1411,-0.4883,5.6152
-70.0073,3.2349,-41.3818
-122.5586,83.8623,-35.5225
-61.2793,67.0776,-95.7031
-46.9971,-0.7324,-167.0532
66.9556,-93.8721,-235.2295
72.0215,54.3213,-110.1685
13.6719,86.3647,103.9429
-20.0806,47.5464,97.9614
-6.0425,18.5547,37.6587
47.2412,-19.9585,1.8921
54.0771,-39.5508,3.4790
-1.6479,-41.9312,10.9863
-13.9771,-26.9775,55.1758
-4.8218,-3.2959,85.4492
-21.6675,-37.9028,75.2563
-19.1040,-59.1431,77.2095
-10.3149,-22.5830,98.6328
4.6997,-43.0908,97.1069
24.2920,-33.2031,86.0596
28.8696,-29.7852,64.5752
34.6069,-51.5137,44.4946
58.8379,-29.5410,17.2119
60.9131,-18.5547,-7.3242
40.5884,-8.9111,-17.5781
12.5732,20.3247,-27.7710
-11.4746,20.4468,-41.8701
-32.4707,14.4653,-53.1616
-13.2446,27.4048,-35.6445
-8.1787,23.9868,-25.2075
-26.7334,7.1411,3.7842
-63.1104,13.5498,-4.6997
-24.3530,16.7236,-10.9253
9.8267,26.1230,-41.5039
-58.5327,-19.1040,-88.9282
-56.3354,59.8755,-92.1631
-91.1865,-27.5879,-115.3564
69.7632,8.3008,-144.0430
116.1499,115.4785,-142.0288
18.6768,13.9160,-9.8267
1.5259,27.7710,46.6309
-14.2212,5.4932,19.8364
1.8921,-22.2778,-7.0801
35.5835,3.6621,-7.3853
37.2925,-7.6294,-13.1226
52.0020,-26.1841,5.9204
4.3335,-10.6812,61.8286
-25.4517,10.1929,106.9946
0.0000,-20.6909,117.0654
14.0991,-20.5688,122.1313
12.7563,-17.5781,124.7559
19.2261,-45.1050,110.8398
35.0952,-57.9224,88.6230
30.1514,-49.5605,53.4668
11.0474,-58.1055,36.2549
36.3770,-32.4707,14.2212
35.0952,-16.0522,-15.6860
14.9536,13.3667,-30.5176
-14.2822,-4.1504,-58.7158
-22.4609,9.8267,-51.6357
-10.4370,9.0332,-35.6445
9.0942,-0.6714,-27.7710
-21.6675,-4.6387,7.2632
-47.9126,-15.3809,11.2305
-11.7798,9.7046,6.1035
-35.0952,37.3535,-26.9165
-76.8433,42.6636,-56.0913
-90.5151,69.3359,-68.2983
-96.2524,-2.2583,-122.6807
110.2905,-17.8833,-186.4624
89.4775,86.5479,-119.3237
-4.1504,52.8564,16.1133
11.1694,39.8560,35.0952
-6.4087,-10.7422,20.0806
35.0342,-44.3115,-17.3950
66.8945,-63.1104,-29.8462
19.5923,-34.0576,3.3569
-14.8315,27.8320,68.2373
-3.0518,8.3618,59.4482
8.7891,-44.7388,49.8047
-12.0850,-27.7710,77.6367
-24.1089,14.2212,95.2759
-2.4414,-6.1646,88.6230
23.9258,-20.1416,79.9561
15.2588,-13.4888,75.9888
5.3101,-51.5137,39.6729
25.2075,-52.9175,28.5645
34.0576,-60.9741,14.5874
42.8467,-42.4194,-14.4043
42.1143,-38.1470,-32.1655
14.3433,-9.0942,-31.6772
-2.0752,18.3105,-16.2964
-7.3853,22.2778,-11.5356
-5.2490,13.5498,-14.9536
